Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Exception
2017/02/17, 23:28:00, 39.015221, -123.065598, 601.21,  0.00, 253, 0, 0.00, 
2017/02/17, 23:28:05, 39.015221, -123.065598, 601.21,  0.00, 253, 0, 0.00, 
2017/02/17, 23:28:10, 39.015221, -123.065598, 601.21,  0.00, 253, 0, 0.00, 
2017/02/17, 23:28:16, 39.015221, -123.065598, 601.21,  0.00, 253, 0, 0.00, 
2017/02/17, 23:28:21, 39.015221, -123.065598, 601.21,  0.00, 253, 0, 0.00, 
2017/02/17, 23:28:25, 39.015221, -123.065598, 601.21,  0.00, 253, 0, 0.00, 
2017/02/17, 23:28:30, 39.015213, -123.065521, 603.32,  1440.00, 253, 0, 6.71, 
2017/02/17, 23:28:35, 39.015228, -123.065514, 605.45,  0.00, 253, 0, 1.77, 
2017/02/17, 23:28:40, 39.015228, -123.065514, 605.45,  0.00, 253, 0, 0.00, 
2017/02/17, 23:28:45, 39.015205, -123.065521, 601.39,  1692.00, 253, 0, 2.63, 
2017/02/17, 23:28:50, 39.015182, -123.065506, 601.87,  0.00, 253, 0, 2.87, 
2017/02/17, 23:28:56, 39.015182, -123.065506, 601.87,  0.00, 253, 0, 0.00, 
2017/02/17, 23:29:00, 39.015182, -123.065506, 601.87,  0.00, 253, 0, 0.00, 
2017/02/17, 23:29:05, 39.015232, -123.065483, 607.82,  108.00, 323, 0, 5.90, 
2017/02/17, 23:29:10, 39.015255, -123.065498, 610.00,  0.00, 323, 0, 2.87, 1
2017/02/17, 23:29:16, 39.015255, -123.065498, 610.00,  0.00, 323, 0, 0.00, 
2017/02/17, 23:29:21, 39.015259, -123.065475, 606.11,  1908.00, 323, 0, 2.04, 
2017/02/17, 23:29:25, 39.015244, -123.065445, 607.82,  1728.00, 44, 0, 3.08, 
2017/02/17, 23:29:31, 39.015221, -123.065422, 603.56,  2124.00, 83, 0, 3.24, 
2017/02/17, 23:29:35, 39.015190, -123.065437, 602.54,  684.00, 104, 0, 3.68, 
2017/02/17, 23:29:41, 39.015228, -123.065491, 604.11,  1908.00, 104, 0, 6.29, 
2017/02/17, 23:29:45, 39.015270, -123.065536, 607.00,  1116.00, 57, 0, 6.08, 
2017/02/17, 23:29:51, 39.015240, -123.065521, 607.12,  3024.00, 107, 0, 3.58, 
2017/02/17, 23:29:55, 39.015182, -123.065468, 607.66,  2808.00, 143, 0, 7.91, 
2017/02/17, 23:30:00, 39.015137, -123.065498, 610.07,  2340.00, 142, 0, 5.64, 
2017/02/17, 23:30:05, 39.015144, -123.065506, 609.89,  360.00, 163, 0, 1.04, 
2017/02/17, 23:30:10, 39.015160, -123.065536, 609.78,  1800.00, 173, 0, 3.14, 
2017/02/17, 23:30:16, 39.015221, -123.065552, 610.28,  720.00, 228, 0, 6.92, 
2017/02/17, 23:30:20, 39.015224, -123.065536, 610.71,  0.00, 228, 0, 1.42, 
